RPM,Pishahang,OSM
50,4287.90400555556,10995.0371904762
100,4695.80929225352,11172.2577765957
150,5060.69010309278,11228.084095
200,5553.97293762994,10910.8034988814
250,6171.37828900709,11068.1332869565
300,6751.77154790419,11214.0896365741
