RPM,Pishahang,OSM
50,4.25137565944444,18.5766359214286
100,4.5777883443662,21.2532959143617
150,5.08411011082474,22.872916081
200,5.3317849035343,24.2646429176734
250,5.94866127801418,25.0403368002174
300,6.41371723173653,25.5133041886574
