RPM,Pishahang,OSM
50,17.8388455531713,52.6483561325073
100,50.030927613504,154.764959377713
150,85.6457161705659,168.844438247006
200,111.32756206941,411.241914403439
250,134.959459523829,418.399907874434
300,168.138879198377,399.520037104867
